OBJECTID,LONGITUDE,LATITUDE,COUNTRY,NAME,NAME2,N_TURBINES,POWER_MW,STATUS,YEAR,COAST_DIST_M,NOTES,
1,2.84,51.69,Belgium,Belwind Alstom Haliade Demonstration,Belwind Alstom Haliade Demonstration,1,6,Production,2013,43900.77701, ,
2,12.54,55.52,Denmark,Aflandshage,Aflandshage,,250,Planned,,4621.307008, ,
3,12.46,55.6,Denmark,Avedore Holme,Avedøre Holme,3,10.8,Production,2011,292.4562547, ,
4,11.36,57.45,Denmark,Bochers Banke,Bochers Banke,,1102.5,Planned,,17145.55062, ,
5,14.74,54.98,Denmark,Bornholm,Bornholm,,100,Planned,,8284.902004, ,
6,15.96,55.14,Denmark,Bornholm Bassin Ost,Bornholm Bassin Ost,,1500,Planned,,41357.16176, ,
7,15.96,54.88,Denmark,Bornholm Bassin Syd,Bornholm Bassin Syd,,1500,Planned,,52608.85867, ,5500
8,11.2,54.7,Denmark,Femern,Femern,,400,Planned,,1762.153578, ,0
9,11.45,54.46,Denmark,Femern Bugt,Femern Bugt,,300,Planned,,10406.50282, ,
10,10.65,57.68,Denmark,Frederikshavn Nord,Frederikshavn Nord,,500,Planned,,5195.75953, ,
11,7.54,57.27,Denmark,Freya,Freya,,1500,Planned,,60389.95911, ,
12,12.39,56.17,Denmark,Gilleleje,Gilleleje,,210,Planned,,6142.347249, ,
13,11.11,56.47,Denmark,Gjerrild Bugt,Gjerrild Bugt,,400,Planned,,9734.381239, ,
14,10.99,56.57,Denmark,Grena,Grena,,315,Planned,,9862.080525, ,
15,12.09,54.66,Denmark,Guldborgsund,Guldborgsund,,500,Planned,,8306.535564, ,
16,11.99,54.53,Denmark,Guldborgsund Syd,Guldborgsund Syd,,500,Planned,,3520.970994, ,
17,8.35,57.18,Denmark,Hanstholm Syd,Hanstholm Syd,,500,Planned,,15722.17106, ,
18,9.88,57.61,Denmark,Hirtshals Havn Offshore,Hirtshals Havn Offshore,,350,Planned,,4444.277108, ,
19,9.76,57.55,Denmark,Hirtshals Havn Syd,Hirtshals Havn Syd,,500,Planned,,7209.973165, ,
20,11.01,55.59,Denmark,Jammerland Bugt,Jammerland Bugt,,240,Planned,,6518.046145, ,
21,7.7,57.29,Denmark,Jyske Banke Nord,Jyske Banke Nord,,1050,Planned,,54148.66914, ,
22,11.56,56.07,Denmark,Klintebjerg,Klintebjerg,,585,Planned,,12164.91089, ,
23,12.94,55.03,Denmark,Kriegers Flak,Kriegers Flak,72,605,Production,2021,25751.59197, ,
24,11.4,57.32,Denmark,Laeso,Laeso,,540,Planned,,12084.02427, ,
25,9.82,55.15,Denmark,Lillebaelt-Syd (Lillegrund),Lillebælt-Syd (Lillegrund),,160,Planned,,8396.573136, ,
26,11.65,54.42,Denmark,Lolland,Lolland,,253,Planned,,20502.86457, ,
27,11.2,54.66,Denmark,Lolland Syd,Lolland Syd,,260,Planned,,5702.088481, ,
28,12.19,56.21,Denmark,Lysegrund,Lysegrund,,550,Planned,,10304.95553, ,
29,11.25,56.47,Denmark,Norddjurs,Norddjurs,,650,Planned,,18177.95313, ,
30,12.82,55.68,Denmark,Nordre Flint,Nordre Flint,,160,Planned,,2975.38033, ,
31,5.91,56.96,Denmark,Odin (DK),Odin (DK),,2250,Planned,,130406.8978, ,
32,8.29,55.18,Denmark,Romo,Romo,,500,Planned,,11281.93967, ,
33,10.58,55.72,Denmark,Samso,Samso,9,20.7,Production,2003,5333.283238, ,
34,10.58,55.72,Denmark,Samso,Samso,1,2.3,Dismantled,2018,5333.283238,2018,
35,10.58,55.72,Denmark,Samso,Samso,1,2.3,Production,2018,5333.283238, ,
36,11.63,56.63,Denmark,Sonderbjerg,Sonderbjerg,,285,Planned,,7410.848109, ,
37,12.53,55.27,Denmark,Stevns Nord,Stevns Nord,,350,Planned,,5186.762357, ,
38,11.25,56.25,Denmark,Stokkebro,Stokkebro,,210,Planned,,23265.80119, ,
39,6.1,57.07,Denmark,Thybo,Thybo,,4000,Planned,,115086.0186, ,
40,7.86,57.28,Denmark,Thybo II,Thybo II,,1760,Planned,,45544.13602, ,
41,10.36,55.97,Denmark,Tuno Knob,Tuno Knob,10,5,Production,1995,2972.107587, ,
42,8.02,56.62,Denmark,Vesterhav Nord,Vesterhav Nord,21,176,Construction,,7823.719896, ,
43,8.02,56.62,Denmark,Vesterhav Syd,Vesterhav Syd,,168,Construction,,7823.719896, ,
44,8.65,57.17,Denmark,Vigso Bay,Vigso Bay,,450,Planned,,5189.609834, ,
45,24.19,57.98,Estonia,Area 1 - Eesti Energia,Area 1 - Eesti Energia,,1005,Planned,,12277.07761, ,
46,24.01,57.97,Estonia,Area 2 - Eesti Energia,Area 2 - Eesti Energia,,1005,Planned,,13651.72717, ,
47,23.82,58.04,Estonia,ELWIND,ELWIND,,1000,Planned,,10812.7116, ,
48,23.98,57.97,Estonia,Liivi Iaht,Liivi Iaht,,960,Planned,,13628.2809, ,
49,22.5,59.15,Estonia,Loode-Eesti Meretuulepark,Loode-Eesti Meretuulepark,200,1100,Planned,,8027.171153, ,
50,22.49,58.21,Estonia,Nasva Offshore,Nasva Offshore,,0,Planned,,984.0870188, ,
51,22.09,59.12,Estonia,Sunly SW1,Sunly SW1,,84,Planned,,19392.69232, ,
52,21.61,57.83,Estonia,Sunly SW10,Sunly SW10,,72,Planned,,25851.33145, ,
53,21.96,59.07,Estonia,Sunly SW2,Sunly SW2,,114,Planned,,15080.9391, ,
54,21.77,58.95,Estonia,Sunly SW3,Sunly SW3,,144,Planned,,15706.99356, ,
55,21.84,58.91,Estonia,Sunly SW4,Sunly SW4,,132,Planned,,11615.19806, ,
56,23.34,58.11,Estonia,Tuuletraal,Tuuletraal,,1050,Planned,,31280.16435, ,
57,24.56,65.658,Finland,Ajos 1,Ajos 1,1,3,Dismantled,2005,14.59668308,2016,
58,24.5,65.667,Finland,Ajos 2-3,Ajos 2-3,2,6,Dismantled,2008,617.8415592,2016,
59,24.551,65.658,Finland,Ajos 4,Ajos 4,1,3,Dismantled,2008,53.04014984,2016,
60,24.563,65.65,Finland,Ajos 5,Ajos 5,1,3,Dismantled,2007,627.5147217,2016,
61,24.551,65.658,Finland,Ajos 6-7,Ajos 6-7,2,6,Dismantled,2008,53.04014984,2016,
62,24.551,65.658,Finland,Ajos 8-9-10-11,Ajos 8-9-10-11,4,12,Dismantled,2008,53.04014984,2016,
63,24.545,65.668,Finland,Ajos Repowering,Ajos Repowering,8,26.4,Production,2017,787.9264653, ,
64,24.545,65.668,Finland,Ajos Repowering,Ajos Repowering,5,16,Production,2017,787.9264653, ,
65,19.47,62.43,Finland,Bothnia,Bothnia,,0,Planned,,70340.17028, ,
66,19.54,61.93,Finland,Bothnia West,Bothnia West,,0,Planned,,90962.24422, ,
67,23.85,65.03,Finland,Halla,Halla,,1920,Planned,,33096.25476, ,
68,23.89,59.86,Finland,Inkoo,Inkoo,60,300,Planned,,4411.254665, ,
69,24.51,65.64,Finland,Kemi Ajos III,Kemi Ajos III,,189,Planned,,1272.295508, ,
70,21.84,63.79,Finland,Laine,Laine,,1800,Planned,,31855.12917, ,
71,20.46,59.83,Finland,Noatun,Noatun,,3000,Planned,,4968.366282, ,
72,20.49,59.71,Finland,Noatun Syd,Noatun Syd,,3000,Planned,,14040.41979, ,
73,20.31,62.67,Finland,Norrskar,Norrskar,,1550,Planned,,37726.72135, ,
74,21.35,61.62,Finland,Pori Offshore 1,Pori Offshore 1,1,2.3,Production,2010,918.3750599, ,
75,21.26,61.67,Finland,Pori-Tahkoluoto,Pori-Tahkoluoto,,0,Planned,,4409.467396, ,
76,21.26,61.608,Finland,Pori-Tahkoluoto,Pori-Tahkoluoto,10,42,Production,2017,5511.385051, ,
77,24.4,64.78,Finland,Raahe,Raahe,24,72,Planned,,7455.991538, ,
78,21.82,63.79,Finland,Reimari,Reimari,,3600,Planned,,32691.16669, ,
79,21.3,61.71,Finland,Tahkoluoto demonstration,Tahkoluoto demonstration,2,30,Approved,,4185.066742, ,
80,19.74,60.75,Finland,Vagskar,Vagskär,98,1960,Planned,,33035.5802, ,
81,21.92,63.86,Finland,Voima,Voima,,1500,Planned,,32503.27472, ,
82,21.03,61.6,Finland,Wellamo,Wellamo,,2000,Planned,,16579.77092, ,
83,4.92,43.31,France,AFLOWT France,AFLOWT France,,6,Planned,,5500.835013, ,
84,-2.71,47.41,France,Eolink 20 MW Prototype,Eolink 20 MW Prototype,,20,Planned,,6414.32643, ,
85,-2.71,47.41,France,Eolink Commercial,Eolink Commercial,,250,Planned,,6414.32643, ,
86,-2.78,47.24,France,Eolink Demonstrateur,Eolink Démonstrateur,,5,Approved,,10339.6517, ,
87,-2.71,47.41,France,Eolink GW Scale,Eolink GW Scale,,1000,Planned,,6414.32643, ,
88,-4.562,48.352,France,Eolink Prototype,Eolink Prototype,1,0.2,Dismantled,2018,406.0453311, ,
89,0.454,49.981,France,Fecamp Offshore,Fécamp Offshore,71,497,Construction,,16941.90378, ,
90,-2.778,47.238,France,FLOATGEN Demonstrator 1  IDEOL Gamesa,FLOATGEN Demonstrator 1  IDEOL Gamesa,1,2,Production,2018,10604.74102, ,
91,3.27,42.81,France,Golfe du Lion,Golfe du Lion,3,30,Construction,,18817.98393, ,
92,3.36,43.04,France,Gruissan,Gruissan,,30,Construction,,20197.40111, ,
93,3.4,42.9,France,Ideol & Quadran Floating Project,Ideol & Quadran Floating Project,,500,Planned,,27892.70008, ,
94,-1.974,47.282,France,Le Carnet,Le Carnet,1,6,Dismantled,2012,5304.03498,2020,
95,4.91,43.31,France,NextFloat,NextFloat,,6,Planned,,4796.078163, ,
96,4.81,43.18,France,Provence Grand Large,Provence Grand Large,3,25.2,Construction,,16766.3112, ,
97,-2.778,47.24,France,SEM-REV,SEM-REV,,8,Production,2015,10400.68077, ,
98,7.8,54.21,Germany,AquaPrimus,AquaPrimus,,28,Planned,,5263.970474, ,
99,12.13,54.16,Germany,Breitling,Breitling,1,2.5,Production,2006,358.7922517, ,
100,7.21,53.33,Germany,Emden Offshore,Emden Offshore,1,4.5,Production,2004,378.400967, ,
101,12.61,54.61,Germany,Gennaker,Gennaker,103,865.2,Approved,,14212.01871, ,
102,8.104,53.637,Germany,Hooksiel,Hooksiel,1,5,Dismantled,2008,758.4019571,2016,
103,25.02,35.72,Greece,Aegean Islands,Aegean Islands,,0,Planned,,31873.25497, ,
104,19.44,39.87,Greece,Diapontia Wind phase Five,Diapontia Wind phase Five,4,20,Planned,,910.6565296, ,
105,19.45,39.8,Greece,Diapontia Wind phase Nine,Diapontia Wind phase Nine,6,30,Planned,,4909.969733, ,
106,19.48,39.87,Greece,Diapontia Wind phase Seven,Diapontia Wind phase Seven,3,15,Planned,,4125.546608, ,
107,19.45,39.86,Greece,Diapontia Wind phase Six,Diapontia Wind phase Six,4,20,Planned,,1494.483331, ,
108,26.26,38.55,Greece,Musica 1,Musica 1,,0,Planned,,2751.752447, ,
109,25.91,38.41,Greece,Musica 2,Musica 2,,0,Planned,,4009.577221, ,
110,25.85,40.83,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,1711.239098, ,
111,25.81,40.84,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,1120.366528, ,
112,25.78,40.84,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,1214.251514, ,
113,25.84,40.83,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,1924.170218, ,
114,25.81,40.83,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,2228.273086, ,
115,25.84,40.82,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,3029.678313, ,
116,25.97,40.81,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,1918.792909, ,
117,25.97,40.8,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,2472.113007, ,
118,25.97,40.79,Greece,Thrakiki Wind 1,Thrakiki Wind 1,,24,Planned,,2868.281717, ,
119,-8.87,54.42,Ireland,Aniar Offshore Array,Aniar Offshore Array,,500,Planned,,12758.76014, ,
120,-9.11,54.59,Ireland,Aniar Offshore Array,Aniar Offshore Array,,500,Planned,,19210.47663, ,
121,-8.9,54.9,Ireland,Arranmore Wind,Arranmore Wind,,1000,Planned,,20102.22746, ,
122,-10.26,54.27,Ireland,Atlantic Marine Energy Test Site,Atlantic Marine Energy Test Site,,10,Test site,,10314.88811, ,
123,-5.8,52.99,Ireland,Banba Wind,Banba Wind,,1000,Planned,,13553.62732, ,
124,-6.37,51.84,Ireland,Blackwater,Blackwater,,1500,Planned,,34688.58512, ,
125,-6.51,51.98,Ireland,Bore Array,Bore Array,,500,Planned,,16347.51243, ,
126,-6.55,51.99,Ireland,Celtic Horizon,Celtic Horizon,,700,Planned,,14206.14707, ,
127,-6.76,51.51,Ireland,Celtic Offshore Renewable Energy,Celtic Offshore Renewable Energy,,1680,Planned,,67589.98255, ,
128,-7.1,51.5,Ireland,Celtic Two,Celtic Two,,800,Planned,,64429.09864, ,
